iter	Logloss
0	0.6824516595
1	0.6706872602
2	0.6583802156
3	0.6367410615
4	0.6246051626
5	0.6048131504
6	0.5917503282
7	0.5776052568
8	0.5647657691
9	0.55329631
10	0.5394234656
11	0.5272454311
12	0.5193029546
13	0.5053702392
14	0.4962539498
15	0.4855913759
16	0.4801720625
17	0.4721181041
18	0.4654441078
19	0.4585038815
20	0.4482571276
21	0.4388137765
22	0.4285832031
23	0.4217713107
24	0.4119087498
25	0.4032396767
26	0.395766066
27	0.3897071856
28	0.3801339093
29	0.3757550615
30	0.3675463092
31	0.3587515068
32	0.3542648798
33	0.3479099202
34	0.3417476217
35	0.3348323314
36	0.327349004
37	0.3228247033
38	0.317993678
39	0.3115313599
40	0.3047325003
41	0.2985223334
42	0.29230873
43	0.2887369829
44	0.2846279795
45	0.2810113366
46	0.2767129225
47	0.2699452993
48	0.266531004
49	0.2639695519
50	0.2590424907
51	0.2545254247
52	0.2521267773
53	0.2483163953
54	0.2450981471
55	0.2420826568
56	0.2380377614
57	0.2334524287
58	0.2318417501
59	0.2276553659
60	0.2250690892
61	0.2210163201
62	0.2181589604
63	0.2152478871
64	0.211972549
65	0.208593668
66	0.2054783478
67	0.2021742625
68	0.2000024495
69	0.1979155368
70	0.1952687939
71	0.1921055535
72	0.1890382613
73	0.1858970937
74	0.1835564914
75	0.1802267227
76	0.1775576339
77	0.1756914158
78	0.1726678485
79	0.1699609166
80	0.1680090816
81	0.1664242651
82	0.1643973437
83	0.1626075566
84	0.1609424499
85	0.1591755621
86	0.1556190117
87	0.1527138104
88	0.1507615873
89	0.1493248684
90	0.1479373723
91	0.1461661208
92	0.1441688676
93	0.1426628181
94	0.139485496
95	0.1386408813
96	0.1375441398
97	0.1342745092
98	0.1323048288
99	0.130577191
100	0.1287023029
101	0.1274738092
102	0.1261434632
103	0.1244817084
104	0.1228342266
105	0.1211472464
106	0.1197942349
107	0.1183156946
108	0.1172049397
109	0.1154115628
110	0.1135305178
111	0.112215776
112	0.1108332907
113	0.1092421857
114	0.1075562701
115	0.1058896597
116	0.1038680908
117	0.1023354452
118	0.1013513403
119	0.09974113304
120	0.0980859594
121	0.09691199761
122	0.09507029328
123	0.09377851348
124	0.09228646092
125	0.0907107199
126	0.08949499484
127	0.08818941034
128	0.08699415591
129	0.08604862478
130	0.08495055962
131	0.08338911626
132	0.08194588341
133	0.08054494794
134	0.07947418969
135	0.07855344996
136	0.07765293803
137	0.07656434814
138	0.07559350282
139	0.07500714725
140	0.07410322897
141	0.07323496299
142	0.0725307229
143	0.07165032554
144	0.07035419593
145	0.06937279155
146	0.06846360277
147	0.0674328272
148	0.06639646426
149	0.06532822266
150	0.06429703446
151	0.06373864722
152	0.06297649575
153	0.06227743234
154	0.06166696051
155	0.06085066324
156	0.06017459542
157	0.05953618065
158	0.05882365892
159	0.05797627345
160	0.057486942
161	0.05670596724
162	0.05607755713
163	0.05535882436
164	0.05498080056
165	0.05434957029
166	0.05364301248
167	0.05288281875
168	0.05244618285
169	0.05180300843
170	0.05120046459
171	0.05058787474
172	0.04999546649
173	0.0494311128
174	0.04899719212
175	0.04856652496
176	0.04806143047
177	0.04774618046
178	0.04721165642
179	0.04659567757
180	0.04613163095
181	0.04577723397
182	0.0450512442
183	0.04457263493
184	0.04390588311
185	0.04339691093
186	0.04307045056
187	0.04273435363
188	0.04237383241
189	0.04195580441
190	0.04162556837
191	0.04124589268
192	0.04093148594
193	0.04060138594
194	0.04034883621
195	0.03972895258
196	0.0392599466
197	0.03875999219
198	0.03831241525
199	0.03798960694
200	0.0376250479
201	0.03734595086
202	0.03692105118
203	0.03646794173
204	0.03618694064
205	0.03598491021
206	0.03564571423
207	0.0352971822
208	0.03494834545
209	0.03461243948
210	0.03432908584
211	0.0339542953
212	0.03357048374
213	0.03334639918
214	0.03311926804
215	0.03291487997
216	0.03255244788
217	0.03231202307
218	0.03210949892
219	0.03189528213
220	0.03162035499
221	0.03135681499
222	0.03104151258
223	0.03078537953
224	0.03051722122
225	0.03022341554
226	0.03002160973
227	0.02973174368
228	0.02946975305
229	0.02916587491
230	0.02891981343
231	0.0287337842
232	0.02853631049
