iter	Passed	Remaining
0	56	22587
1	57	11346
2	57	7589
3	57	5708
4	58	4582
5	58	3830
6	58	3294
7	59	2892
8	59	2578
9	59	2328
10	60	2123
11	60	1951
12	60	1806
13	61	1681
14	61	1574
15	61	1479
16	61	1396
17	62	1323
18	62	1261
19	63	1204
20	63	1150
21	64	1101
22	64	1055
23	64	1014
24	65	977
25	65	944
26	66	915
27	67	890
28	67	863
29	67	836
30	68	812
31	68	789
32	68	767
33	69	745
34	69	725
35	70	708
36	70	690
37	70	673
38	70	657
39	71	641
40	71	627
41	71	613
42	72	600
43	72	587
44	72	575
45	73	563
46	73	552
47	73	541
48	74	531
49	74	521
50	74	512
51	75	502
52	75	494
53	75	485
54	76	477
55	76	469
56	76	461
57	76	453
58	77	446
59	77	439
60	77	433
61	78	427
62	78	421
63	79	416
64	79	411
65	80	405
66	80	401
67	81	395
68	81	390
69	81	385
70	81	379
71	82	374
72	82	369
73	82	365
74	83	360
75	83	356
76	83	352
77	84	348
78	84	343
79	84	339
80	85	336
81	85	332
82	86	328
83	86	324
84	86	321
85	87	318
86	87	315
87	88	312
88	88	308
89	88	305
90	89	302
91	89	299
92	89	296
93	90	293
94	90	290
95	90	287
96	91	284
97	91	281
98	91	278
99	91	275
100	92	273
101	92	270
102	92	268
103	93	265
104	93	262
105	93	260
106	94	258
107	94	256
108	95	254
109	95	252
110	96	250
111	96	248
112	96	245
113	97	243
114	97	241
115	97	239
116	98	237
117	98	235
118	98	233
119	99	231
120	99	229
121	99	227
122	100	225
123	100	223
124	100	221
125	101	219
126	101	217
127	101	216
128	102	214
129	102	212
130	102	211
131	103	209
132	103	207
133	103	206
134	104	204
135	104	202
136	104	201
137	105	199
138	105	198
139	105	196
140	106	195
141	106	193
142	106	191
143	107	190
144	107	188
145	107	187
146	108	185
147	108	184
148	108	183
149	108	181
150	109	180
151	109	178
152	110	177
153	110	176
154	111	175
155	111	174
156	111	173
157	112	171
158	112	170
159	112	169
160	113	168
161	113	166
162	113	165
163	114	164
164	114	163
165	114	162
166	115	160
167	115	159
168	115	158
169	116	157
170	116	155
171	116	154
172	117	153
173	117	152
174	117	151
175	118	150
176	118	149
177	118	148
178	119	147
179	119	146
180	120	145
181	120	144
182	120	143
183	120	142
184	121	140
185	121	140
186	122	139
187	122	138
188	123	137
189	123	136
190	123	135
191	123	134
192	124	133
193	124	132
194	124	131
195	125	130
196	125	129
197	125	128
198	126	127
199	126	126
200	127	126
201	127	125
202	128	124
203	128	123
204	128	122
205	129	121
206	129	120
207	129	119
208	130	118
209	130	117
210	130	117
211	130	116
212	131	115
213	131	114
214	131	113
215	132	112
216	132	111
217	132	110
218	133	110
219	133	109
220	133	108
221	134	107
222	134	106
223	134	105
224	135	105
225	135	104
226	135	103
227	136	102
228	136	101
229	136	101
230	137	100
231	137	99
232	137	98
233	138	97
234	138	97
235	138	96
236	139	95
237	139	95
238	139	94
239	140	93
240	140	92
241	140	91
242	141	91
243	141	90
244	141	89
245	142	89
246	142	88
247	142	87
248	143	86
249	143	86
250	144	85
251	144	84
252	144	84
253	145	83
254	145	82
255	145	81
256	145	81
257	146	80
258	146	79
259	146	79
260	147	78
261	147	77
262	147	76
263	148	76
264	148	75
265	149	75
266	149	74
267	149	73
268	149	73
269	150	72
270	150	71
271	151	71
272	151	70
273	151	69
274	152	69
275	152	68
276	152	67
277	153	67
278	153	66
279	153	65
280	154	65
281	154	64
282	154	63
283	154	63
284	155	62
285	155	62
286	156	61
287	156	60
288	156	60
289	156	59
290	157	58
291	157	58
292	158	57
293	158	57
294	158	56
295	159	55
296	159	55
297	159	54
298	160	54
299	160	53
300	160	52
301	161	52
302	161	51
303	161	51
304	162	50
305	162	49
306	162	49
307	163	48
308	163	48
309	163	47
310	164	47
311	164	46
312	165	45
313	165	45
314	166	44
315	166	44
316	166	43
317	167	43
318	167	42
319	167	41
320	168	41
321	169	41
322	169	40
323	170	39
324	170	39
325	170	38
326	171	38
327	171	37
328	171	37
329	172	36
330	172	35
331	172	35
332	173	34
333	173	34
334	174	33
335	174	33
336	174	32
337	175	32
338	175	31
339	175	31
340	176	30
341	176	29
342	176	29
343	176	28
344	177	28
345	177	27
346	177	27
347	178	26
348	178	26
349	178	25
350	179	25
351	179	24
352	179	23
353	180	23
354	180	22
355	180	22
356	181	21
357	181	21
358	181	20
359	182	20
360	182	19
361	182	19
362	183	18
363	183	18
364	183	17
365	184	17
366	184	16
367	184	16
368	185	15
369	185	15
370	185	14
371	186	14
372	186	13
373	186	12
374	187	12
375	187	11
376	187	11
377	188	10
378	188	10
379	188	9
380	189	9
381	189	8
382	190	8
383	190	7
384	190	7
385	191	6
386	191	6
387	191	5
388	191	5
389	192	4
390	192	4
391	192	3
392	193	3
393	193	2
394	193	2
395	194	1
396	194	1
397	194	0
398	195	0
399	195	0
