country,connectivity_score,health_security_index,mean_temp_c
USA,1.0,0.75,12.0
United Kingdom,0.92,0.71,9.0
Germany,0.88,0.68,8.5
China,0.95,0.47,10.0
India,0.55,0.42,24.0
Brazil,0.45,0.51,25.0
Australia,0.4,0.71,21.0
Canada,0.65,0.69,-5.0
France,0.85,0.61,10.0
Japan,0.75,0.59,11.0
South Africa,0.35,0.45,17.0
Russia,0.6,0.49,-5.0
Turkey,0.7,0.43,11.0
Netherlands,0.9,0.67,9.5
Switzerland,0.85,0.65,8.0
Singapore,1.0,0.58,27.0
Denmark,0.8,0.63,7.5
Spain,0.82,0.6,13.0
Italy,0.8,0.56,13.0
South Korea,0.78,0.68,11.5
United Arab Emirates,0.95,0.46,27.0
Vietnam,0.5,0.39,24.5
Kenya,0.25,0.37,24.0
Israel,0.7,0.52,19.0
Norway,0.75,0.62,1.5
Sweden,0.75,0.64,2.0
Argentina,0.4,0.48,15.0
Mexico,0.55,0.44,21.0
Nigeria,0.2,0.28,27.0
Thailand,0.65,0.68,28.0
Belgium,0.85,0.58,9.5
Austria,0.8,0.6,7.5
Portugal,0.7,0.51,15.0
Ireland,0.75,0.55,9.0
New Zealand,0.35,0.62,10.0
