backbone_id,year,country,host_genus,clinical_context,amr_gene_count,mobility_score,mash_neighbor_distance
bb_alpha,2018,USA,Escherichia,clinical,5.0,0.95,0.001
bb_alpha,2019,Germany,Escherichia,clinical,5.0,0.95,0.002
bb_alpha,2020,USA,Escherichia,clinical,5.0,0.95,0.001
bb_alpha,2021,China,Escherichia,clinical,5.0,0.95,0.003
bb_alpha,2022,India,Escherichia,clinical,5.0,0.95,0.004
bb_alpha,2023,Brazil,Escherichia,clinical,5.0,0.95,0.005
bb_beta,2018,USA,Klebsiella,environmental,1.0,0.30,0.050
bb_beta,2019,USA,Klebsiella,environmental,1.0,0.30,0.055
bb_beta,2020,USA,Klebsiella,environmental,1.0,0.30,0.060
bb_beta,2021,USA,Klebsiella,environmental,1.0,0.30,0.065
bb_beta,2022,USA,Klebsiella,environmental,1.0,0.30,0.070
bb_gamma,2017,France,Salmonella,food,0.5,0.20,0.100
bb_gamma,2019,France,Salmonella,food,0.5,0.20,0.110
bb_gamma,2020,France,Salmonella,food,0.5,0.20,0.120
bb_gamma,2021,France,Salmonella,food,0.5,0.20,0.130
bb_delta,2018,Turkey,Acinetobacter,host_associated,1.2,0.40,0.080
bb_delta,2019,Turkey,Acinetobacter,host_associated,1.2,0.40,0.085
bb_delta,2020,Turkey,Acinetobacter,host_associated,1.2,0.40,0.090
bb_delta,2021,Japan,Acinetobacter,host_associated,1.2,0.40,0.095
bb_epsilon,2020,Canada,Pseudomonas,environmental,0.2,0.10,0.200
bb_epsilon,2022,Canada,Pseudomonas,environmental,0.2,0.10,0.220
