backbone_id,member_count_train,member_count_total,n_countries_train,n_countries_test,refseq_share_train,insd_share_train,split_year,backbone_assignment_mode,max_resolved_year_train,min_resolved_year_test,spread_severity_bin,n_train_macro_regions,genus_purity_train,family_purity_train,mobility_purity_train,replicon_purity_train,backbone_purity_score,mean_n_replicon_types_train,multi_replicon_fraction_train,primary_replicon_diversity_train,plasmidfinder_presence_fraction_train,plasmidfinder_mean_type_count_train,plasmidfinder_multi_type_fraction_train,plasmidfinder_mean_max_identity_train,plasmidfinder_mean_coverage_train,plasmidfinder_dominant_type_purity_train,plasmidfinder_support_score,plasmidfinder_complexity_score,assignment_primary_fraction,assignment_confidence_score,pmlst_presence_fraction_train,pmlst_scheme_purity_train,pmlst_st_purity_train,pmlst_allele_purity_train,pmlst_coherence_score,mean_pmid_count_train,max_pmid_count_train,clinical_context_fraction_train,environmental_context_fraction_train,host_associated_context_fraction_train,food_context_fraction_train,pathogenic_context_fraction_train,ecology_context_diversity_train,ecology_context_score,mash_neighbor_distance_train_mean,coherence_score,mobility_dominance,replicon_dominance,topology_dominance,relaxase_support,mpf_support,orit_support,mobilizable_support,support_shrinkage,T_raw,T_eff,host_observation_count,host_taxon_signature_count,genus_unique_count,H_genus_richness_norm,family_unique_count,order_unique_count,class_unique_count,phylum_unique_count,H_genus_norm,phylo_breadth_score,phylo_pairwise_dispersion_score,phylo_breadth_augmented_score,host_taxon_evenness_score,host_support_factor,predicted_host_range_score,reported_host_range_score,H_external_host_range_score,H_external_host_range_support,H_obs,H_obs_basic,H_support,H_raw,H_phylogenetic_raw,H_augmented_raw,H_phylogenetic_augmented_raw,H_eff,H_phylogenetic_eff,H_augmented_eff,H_phylogenetic_augmented_eff,mean_amr_class_count,mean_amr_gene_count,mdr_proxy_fraction,xdr_proxy_fraction,mean_last_resort_convergence_score,mean_amr_mechanism_diversity_proxy,mean_amr_clinical_threat_score,A_consistency,A_recurrence,amr_support_factor,canonical_member_count_train,amr_class_richness_norm,amr_gene_burden_norm,amr_clinical_threat_norm,A_content_raw,A_raw,A_eff,T_eff_norm,H_eff_norm,H_obs_norm,H_breadth_norm,H_support_norm,H_external_host_range_norm,H_augmented_norm,host_phylogenetic_dispersion_norm,host_taxon_evenness_norm,H_phylogenetic_norm,H_phylogenetic_augmented_norm,A_eff_norm,A_recurrence_norm,T_raw_norm,A_raw_norm,support_shrinkage_norm,amr_support_norm,backbone_purity_norm,assignment_confidence_norm,pmlst_coherence_norm,clinical_context_fraction_norm,pathogenic_context_fraction_norm,pmlst_presence_norm,plasmidfinder_support_norm,plasmidfinder_complexity_norm,ecology_context_diversity_norm,ecology_context_norm,mash_neighbor_distance_train_norm,H_obs_specialization_norm,H_specialization_norm,H_phylogenetic_specialization_norm,H_phylogenetic_augmented_specialization_norm,H_augmented_specialization_norm,amr_load_density_norm,amr_mdr_proxy_norm,amr_xdr_proxy_norm,last_resort_convergence_norm,amr_mechanism_diversity_norm,amr_clinical_escalation_norm,clinical_context_sparse_penalty_norm,external_t_synergy_norm,T_A_synergy_norm,T_H_obs_synergy_norm,A_H_obs_synergy_norm,T_coherence_synergy_norm,H_A_synergy_norm,clinical_A_synergy_norm,clinical_weapon_synergy_norm,endemic_resistance_norm,H_evenness_T_synergy_norm,host_support_observed_flag,external_host_support_observed_flag,amr_support_observed_flag,pmlst_support_observed_flag,context_support_observed_flag,metadata_support_depth_norm,metadata_missingness_burden,context_support_guard_norm,silent_carrier_risk_norm,mean_n_replicon_types_norm,replicon_architecture_norm,amr_burden_latent_norm,amr_burden_saturation_norm,replicon_multiplicity_latent_norm,replicon_multiplicity_saturation_norm,host_range_latent_norm,host_range_saturation_norm,eco_clinical_context_latent_norm,eco_clinical_context_saturation_norm,monotonic_latent_priority_index,strict_priority_index,strict_operational_priority_index,legacy_geometric_priority_index,arithmetic_priority_index,priority_index,operational_priority_index,bio_priority_index,evidence_support_index,log1p_member_count_train,log1p_n_countries_train,H_support_norm_residual,amr_support_norm_residual,label_geo_spread,n_new_countries_future,year,geo_country_record_count_train,geo_country_entropy_train,geo_macro_region_entropy_train,geo_dominant_region_share_train,knownness_score,region,host_genus,mean_antibiotic_pressure,max_health_exp,tourist_entropy,country_slope_train,host_breadth_slope_train,mobility_shift_slope_train,recent_expansion_flag,other_amr_count,colistin_resistance_count,carbapenemase_count,amr_class_shannon,esbl_count
AG392,1,3,1,1,1.0,0.0,2015,training_only,2015.0,2020.0,1.0,1,1.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.25,0.2375,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.25,0.4615384615384615,0.1153846153846153,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.0204984244002211,0.2,0.0,0.2,1.0,0.0197934698537438,0.0245507777990862,0.5102492122001105,0.0245507777990862,0.0197934698537438,0.0700725021660939,0.0629181529508676,0.0100996023995794,0.0100996023995794,0.0357544390271399,0.0321039379762662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42657342657342656,0.1593387266971509,0.8909602532536054,0.9303552585297221,0.12586685159500693,0.6382596188421431,0.6362996834329934,0.0,0.0,0.8909602532536054,0.620823074217376,0.0,0.0,0.5772409408773045,0.0,0.7222607489597781,0.0,0.3224687933425798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115811373092927,0.9212898751733704,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.37917692578262396,0.36370031656700663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2722645926529422,0.0,0.38005996817111837,0.0,0.28438228438228436,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.41272538141470183,0.5872746185852982,0.0,0.0,0.0,0.0,0.0,0.007033587154995136,0.0,0.01798620996209155,0.7467817331895001,0.9814364508877977,0.4102115117891817,0.5229597434453729,0.25790670866514487,0.0,0.0,0.0,0.19530405109019247,0.19530405109019247,0.19530405109019247,0.5025320664690088,0.36113037447988905,0.6931471805599453,0.6931471805599453,-0.2164367026361117,-0.12611834050180384,0,1,2015.0,1.0,0.6931471805599453,0.0,1.0,0.5369798890429959,unknown,Azotobacter,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AA859,1,25,1,7,1.0,0.0,2015,training_only,2013.0,2018.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.2333333333333333,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.25,0.3375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.0204984244002211,1.0,1.0,1.0,1.0,0.0197934698537438,0.0245507777990862,0.5102492122001105,0.0245507777990862,0.0197934698537438,0.1566868781968873,0.140689267016869,0.0100996023995794,0.0100996023995794,0.0799493561620564,0.0717865876603684,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.25,1.0,0.6410748560460653,0.7019400352733686,0.538961038961039,0.671507445659717,0.8194555788203025,0.20486389470507563,0.8328035600762873,0.1593387266971509,0.8909602532536054,0.9303552585297221,0.12586685159500693,1.0,0.9373900809004573,0.0,0.0,0.8909602532536054,0.9321139641224059,0.45021645021645024,0.0,1.0,0.7943722943722944,0.7222607489597781,0.562610229276896,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7249240121580547,0.9115811373092927,0.9875173370319001,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.06788603587759412,0.06260991909954272,0.8677248677248677,0.0,0.0,0.0,1.0,0.0,0.2777392510402219,0.8328035600762873,0.3749418625451683,0.7419948707960731,0.4011249625037877,0.8328035600762873,0.03135520828099091,0.45021645021645024,0.026112729083342712,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.6852474272700809,0.3147525727299191,0.6852474272700809,0.3147525727299191,0.858600583090379,0.38637026239067057,0.7362193362193361,0.9588461321174266,0.6460969387755102,0.9213599293000669,1.0,0.998498817743263,0.9602115117891817,0.9935800455548944,0.7038668101354422,0.3909264823052176,0.3909264823052176,0.3909264823052176,0.48078624566329614,0.48078624566329614,0.48078624566329614,0.9082425176340054,0.642435489118337,0.6931471805599453,0.6931471805599453,-0.2164367026361117,0.43649188877509215,1,6,2013.0,1.0,0.6931471805599453,0.0,1.0,0.8426237136350404,unknown,Salmonella,0.0,0.0,0.0,0.2261904761904762,0.0,0.0,1.0,113.0,0.0,0.0,-0.0,0.0
AC558,1,2,1,1,1.0,0.0,2015,training_only,2015.0,2022.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9962,1.0,1.0,0.99867,0.2333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.25,0.1375,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.25,0.4615384615384615,0.1153846153846153,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.0338932663308422,0.4,0.0,0.4,1.0,0.0197934698537438,0.0245507777990862,0.5169466331654211,0.0245507777990862,0.0197934698537438,0.0990974829127081,0.0889797052225818,0.0102321675995541,0.0102321675995541,0.0512281101468923,0.0459977590348653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42657342657342656,0.19029194512838551,0.8909602532536054,0.9303552585297221,0.14840499306518723,0.7500898957209636,0.7421737601125572,0.0,0.0,0.8909602532536054,0.7372493844530426,0.0,0.0,0.5772409408773045,0.0,0.7222607489597781,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6443768996960486,0.7249240121580547,0.9115811373092927,0.7950762829403606,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.26275061554695744,0.2578262398874428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31996841705579565,0.0,0.38005996817111837,0.0,0.42657342657342656,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4185852981969487,0.5814147018030513,0.0,0.0,0.858600583090379,0.38637026239067057,0.0,0.007033587154995136,0.6460969387755102,0.9213599293000669,0.8250629270046745,0.9914278641890149,0.4102115117891817,0.5229597434453729,0.35837687325545603,0.0,0.0,0.0,0.2056217905672707,0.2056217905672707,0.2056217905672707,0.5025320664690088,0.36113037447988905,0.6931471805599453,0.6931471805599453,-0.1938985611659314,-0.12611834050180384,0,1,2015.0,1.0,0.6931471805599453,0.0,1.0,0.7092926490984743,unknown,Lacticaseibacillus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB220,1,2,1,0,1.0,0.0,2015,training_only,2015.0,2023.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0875,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.25,0.4615384615384615,0.1153846153846153,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.057703632190293,0.4,0.0,0.4,1.0,0.0197934698537438,0.0245507777990862,0.5288518160951465,0.0245507777990862,0.0197934698537438,0.0990974829127081,0.0889797052225818,0.0104678124789769,0.0104678124789769,0.0524078838088434,0.0470570787025731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42657342657342656,0.23953570172353147,0.8909602532536054,0.9303552585297221,0.18446601941747573,0.7500898957209636,0.7421737601125572,0.0,0.0,0.8909602532536054,0.7372493844530426,0.0,0.0,0.5772409408773045,0.0,0.7222607489597781,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115811373092927,0.7773925104022191,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.26275061554695744,0.2578262398874428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31996841705579565,0.0,0.38005996817111837,0.0,0.42657342657342656,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.32796116504854367,0.6720388349514563,0.0,0.0,0.858600583090379,0.38637026239067057,0.0,0.007033587154995136,0.6460969387755102,0.9213599293000669,0.8250629270046745,0.9914278641890149,0.4102115117891817,0.5229597434453729,0.35837687325545603,0.0,0.0,0.0,0.222036376098986,0.222036376098986,0.222036376098986,0.5025320664690088,0.36113037447988905,0.6931471805599453,0.6931471805599453,-0.1578375348136429,-0.12611834050180384,0,0,2015.0,1.0,0.6931471805599453,0.0,1.0,0.6639805825242717,unknown,Limimaricola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD688,1,2,1,1,1.0,0.0,2015,training_only,2015.0,2021.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.25,0.2375,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.25,0.4615384615384615,0.1153846153846153,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.0909090909090909,0.8,0.0,0.8,1.0,0.0197934698537438,0.0245507777990862,0.5454545454545454,0.0245507777990862,0.0197934698537438,0.1401450043321879,0.1258363059017353,0.0107964381020421,0.0107964381020421,0.0764427296357388,0.0686379850373101,1.0,3.0,0.0,0.0,0.0,0.75,1.0,1.0,0.0,0.25,1.0,0.42802303262955854,0.6261022927689595,0.3354978354978355,0.5270626626992589,0.7259908144730614,0.18149770361826534,0.42657342657342656,0.33556102708406615,0.8909602532536054,0.9303552585297221,0.22711511789181693,0.9223300970873787,0.8835736897643335,0.0,0.0,0.8909602532536054,0.8747801618009146,0.36147186147186144,0.0,0.5772409408773045,0.6493506493506493,0.7222607489597781,0.562610229276896,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115811373092927,0.9212898751733704,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.12521983819908544,0.11642631023566652,0.9241622574955908,0.0,0.0,0.0,0.6984126984126984,0.0,0.0,0.39344150994636434,0.1541942905579269,0.38005996817111837,0.32205706124102185,0.42657342657342656,0.025174614340987892,0.0,0.010738821502099729,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5515719765072515,0.44842802349274846,0.0,0.44842802349274846,0.858600583090379,0.38637026239067057,0.6886964886964887,0.9324949531223825,0.6460969387755102,0.9213599293000669,0.945631067961165,0.9974172402480519,0.4102115117891817,0.5229597434453729,0.5613303023975112,0.37263181860273065,0.37263181860273065,0.37263181860273065,0.3745354383764514,0.3745354383764514,0.3745354383764514,0.7189822829192254,0.642435489118337,0.6931471805599453,0.6931471805599453,-0.1151884363393017,0.43649188877509215,0,1,2015.0,1.0,0.6931471805599453,0.0,1.0,0.7757859882536258,unknown,Roseomonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.0,0.0
AF297,1,1,1,0,1.0,0.0,2015,training_only,2012.0,,0.0,1,1.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0875,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.0764751251219185,0.2,0.0,0.2,1.0,0.0197934698537438,0.0245507777990862,0.5382375625609592,0.0245507777990862,0.0197934698537438,0.0700725021660939,0.0629181529508676,0.0106535889687029,0.0106535889687029,0.0377156527684259,0.0338649132851126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2694336967991558,0.8909602532536054,0.9303552585297221,0.21497919556171982,0.6382596188421431,0.6362996834329934,0.0,0.0,0.8909602532536054,0.620823074217376,0.0,0.0,0.0,0.0,0.7222607489597781,0.0,0.3224687933425798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115811373092927,0.7773925104022191,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.37917692578262396,0.36370031656700663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3358945908460471,0.6641054091539529,0.0,0.0,0.0,0.0,0.0,0.007033587154995136,0.0,0.01798620996209155,0.7467817331895001,0.9814364508877977,0.4102115117891817,0.5229597434453729,0.18112349188192808,0.0,0.0,0.0,0.08981123226638527,0.08981123226638527,0.08981123226638527,0.3101184195099074,0.36113037447988905,0.6931471805599453,0.6931471805599453,-0.1273243586693988,-0.12611834050180384,0,0,2012.0,1.0,0.6931471805599453,0.0,1.0,0.4985644937586685,unknown,Synechococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC125,2,272,1,26,0.6666666666666666,0.3333333333333333,2015,training_only,2015.0,2016.0,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9994,1.0,1.0,0.99979,0.2333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.2583333333333333,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,3.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.1437398936440172,0.2420987598590409,0.0,0.1573641939083766,0.0,0.375,0.6,0.6,0.6,1.0,0.0150397847377436,0.0186545570822485,0.6875,0.0186545570822485,0.0150397847377436,0.1057957194282885,0.0949940568806605,0.0103398520071987,0.0103398520071987,0.0727345571069483,0.0653084141054541,0.5,0.5,0.0,0.0,0.0,0.125,1.0,0.5,0.0,0.25,2.0,0.1017274472168906,0.07407407407407407,0.3354978354978355,0.08790076064548233,0.2096434600046974,0.05241086500117435,0.0,0.20858248329229687,0.06823777699613084,0.08652831516004221,0.9414008321775312,0.8694714131607335,0.7537812170242701,0.0,0.0,0.06823777699613084,0.7485051002462187,0.09090909090909091,0.0,0.0,0.10822510822510822,0.8744798890429958,0.562610229276896,1.0,1.0,0.0,0.32242990654205606,0.0,0.0,0.682370820668693,0.7249240121580547,0.9916782246879334,0.9400138696255201,0.0,0.9317622230038691,0.9134716848399578,0.9317622230038691,0.25149489975378125,0.24621878297572986,0.08465608465608465,0.0,0.0,0.0,0.08289241622574955,0.0,0.04047143764501537,0.0,0.0,0.0,0.006203434272375532,0.0,0.08304288043999616,0.02931180968564146,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.7372862622215373,0.26271373777846274,0.2377231406228321,0.13135686888923137,0.858600583090379,0.38637026239067057,0.184992784992785,0.05141315045928363,0.6460969387755102,0.9213599293000669,0.9086299892125134,0.9962651280921859,0.623591649707701,0.8820850468088902,0.49425548244316714,0.0,0.0,0.0,0.09983052473379593,0.09983052473379593,0.09983052473379593,0.06491780779505014,0.7185450591599458,1.0986122886681098,0.6931471805599453,0.47614672870914565,0.3321808532771181,1,26,2015.0,2.0,0.6931471805599453,0.0,1.0,0.8686431311107685,unknown,Klebsiella,0.0,0.0,0.0,1.8848484848484848,0.0,-2.0858735614169606e-17,1.0,168.0,0.0,0.0,-0.0,0.0
AA940,1,1,1,0,0.0,1.0,2015,training_only,2014.0,,0.0,1,1.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.0875,0.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.1035169464573565,0.2,0.0,0.2,1.0,0.0197934698537438,0.0245507777990862,0.5517584732286783,0.0245507777990862,0.0197934698537438,0.0700725021660939,0.0629181529508676,0.0109212147063995,0.0109212147063995,0.0386630968104772,0.0347156240105391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3485754484699261,0.8909602532536054,0.9303552585297221,0.2406380027739251,0.6382596188421431,0.6362996834329934,0.0,0.0,0.8909602532536054,0.620823074217376,0.0,0.0,0.0,0.0,0.7222607489597781,0.0,0.3224687933425798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115811373092927,0.7773925104022191,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.37917692578262396,0.36370031656700663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3425658807212205,0.6574341192787795,0.0,0.0,0.0,0.0,0.0,0.007033587154995136,0.0,0.01798620996209155,0.7467817331895001,0.9814364508877977,0.4102115117891817,0.5229597434453729,0.18112349188192808,0.0,0.0,0.0,0.11619181615664204,0.11619181615664204,0.11619181615664204,0.3101184195099074,0.36113037447988905,0.6931471805599453,0.6931471805599453,0.01956380696601437,-0.12081626779034547,0,0,2014.0,1.0,0.6931471805599453,0.0,1.0,0.5019001386962552,unknown,Borreliella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD581,1,3,1,1,0.0,1.0,2015,training_only,2014.0,2017.0,1.0,1,1.0,1.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.25,0.2375,0.151946,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.25,0.7692307692307693,0.1923076923076923,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.156234931905558,0.2,0.0,0.2,1.0,0.0197934698537438,0.0245507777990862,0.578117465952779,0.0245507777990862,0.0197934698537438,0.0700725021660939,0.0629181529508676,0.0114429506342591,0.0114429506342591,0.0405101373852328,0.0363740831463849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7832167832167832,0.37952866690116077,0.8909602532536054,0.9303552585297221,0.2711511789181692,0.6382596188421431,0.6362996834329934,0.0,0.0,0.8909602532536054,0.620823074217376,0.0,0.0,0.9453273998728544,0.0,0.7222607489597781,0.0,0.3224687933425798,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115811373092927,0.9212898751733704,0.7212276214833759,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.37917692578262396,0.36370031656700663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998956455267135,0.0,0.6978150235272993,0.0,0.5221445221445221,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.45049930651872394,0.5495006934812761,0.0,0.0,0.0,0.0,0.0,0.007033587154995136,0.0,0.01798620996209155,0.7467817331895001,0.9814364508877977,0.4102115117891817,0.5229597434453729,0.3221025128609491,0.0,0.0,0.0,0.3875818167059813,0.3875818167059813,0.3875818167059813,0.6252275528008588,0.36113037447988905,0.6931471805599453,0.6931471805599453,0.05007698311025846,-0.12081626779034547,0,1,2014.0,1.0,0.6931471805599453,0.0,1.0,0.5558668515950069,unknown,Rhizobium,0.0,0.0,0.0,0.32142857142857145,0.0,-0.0642857142857143,1.0,0.0,0.0,0.0,0.0,0.0
AF268,1,5,1,2,1.0,0.0,2015,training_only,2015.0,2017.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.9789,1.0,1.0,0.992615,0.2333333333333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.25,0.1875,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,1.0,0.1820879004699382,1.0,1.0,1.0,1.0,0.2489647988659845,0.2420987598590409,0.0,0.1573641939083766,0.0,0.0945691662966549,0.6,0.6,0.6,1.0,0.0197934698537438,0.0245507777990862,0.5472845831483275,0.0245507777990862,0.0197934698537438,0.1213691339651549,0.1089774376292924,0.0108326608979652,0.0108326608979652,0.0664234558891933,0.0596416715255201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3397819205065072,0.8909602532536054,0.9303552585297221,0.23196948682385576,0.8694714131607335,0.8438269433696799,0.0,0.0,0.8909602532536054,0.835033415406261,0.0,0.0,0.0,0.0,0.7222607489597781,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5547112462006079,0.7249240121580547,0.9115811373092927,0.8307905686546463,0.0,0.1090397467463946,0.06964474147027788,0.1090397467463946,0.16496658459373903,0.1561730566303201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4403120665742025,0.5596879334257975,0.0,0.0,0.858600583090379,0.38637026239067057,0.0,0.007033587154995136,0.6460969387755102,0.9213599293000669,0.9086299892125134,0.9962651280921859,0.4102115117891817,0.5229597434453729,0.2821257555015881,0.0,0.0,0.0,0.11326064016883573,0.11326064016883573,0.11326064016883573,0.3101184195099074,0.36113037447988905,0.6931471805599453,0.6931471805599453,-0.11033406740726287,-0.12611834050180384,0,2,2015.0,1.0,0.6931471805599453,0.0,1.0,0.7201560332871012,unknown,Apirhabdus,0.0,0.0,0.0,0.7428571428571429,0.0,0.038571428571428576,0.0,3.0,0.0,0.0,-0.0,0.0
