backbone_id	year	log_size	gc	n_replicon_types	n_relaxase_types	mobility_score	is_conjugative	is_mobilizable	topology	has_orit	has_relaxase	n_orit_types	host_range_rank	n_countries	n_hosts	years_since_first	new_countries_recent	new_countries_2y_ago	n_records	acceleration	spread_velocity_norm	niche_breadth	hazard_1	hazard_2	hazard_3	n_new_countries	observed	phylum_idx	class_idx	order_idx	family_idx	genus_idx	cat_replicon_types	cat_relaxase_types	cat_mpf_type	cat_plasmidfinder_dominant_type	cat_predicted_host_range_overall_name	cat_ecosystem_tags	cat_disease_tags	split
UNSEEN::AD308	2016	10.619765150484927	0.5305972883840234	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	23	32	41	90	236	[16]	[0]	[0]	[11]	[1]	[0]	[0]	train
UNSEEN::AD308	2019	10.619765150484927	0.5305972883840234	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	3.0	1.0	0.0	2.0	1.0	0.32151273753163434	0.0	0.0	1.0	1.0	1.0	1.0	23	32	41	90	236	[16]	[0]	[0]	[11]	[1]	[0]	[0]	train
UNSEEN::AD308	2021	10.619765150484927	0.5305972883840234	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	5.0	1.0	0.0	3.0	1.0	0.197375320224904	0.0	0.0	0.0	0.0	0.0	1.0	23	32	41	90	236	[16]	[0]	[0]	[11]	[1]	[0]	[0]	train
UNSEEN::AD308	2022	10.619765150484927	0.5305972883840234	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	6.0	1.0	1.0	4.0	0.0	0.16514041292462933	0.0	0.0	0.0	-1.0	-1.0	0.0	23	32	41	90	236	[16]	[0]	[0]	[11]	[1]	[0]	[0]	train
UNSEEN::AD308	2023	10.619765150484927	0.5305972883840234	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	7.0	1.0	1.0	5.0	0.0	0.14189319376693255	0.0	0.0	-1.0	-1.0	-1.0	0.0	23	32	41	90	236	[16]	[0]	[0]	[11]	[1]	[0]	[0]	train
UNSEEN::AD308	2024	10.619765150484927	0.5305972883840234	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	8.0	0.0	1.0	6.0	-1.0	0.0	0.0	-1.0	-1.0	-1.0	-1.0	0.0	23	32	41	90	236	[16]	[0]	[0]	[11]	[1]	[0]	[0]	train
AD687	2013	11.468795923207967	0.5340607428774482	1.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23	32	98	216	588	[0]	[1]	[3]	[0]	[18]	[0]	[0]	train
AD687	2024	11.468795923207967	0.5340607428774482	1.0	1.0	2.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	11.0	1.0	0.0	2.0	1.0	0.0906594777770402	0.0	-1.0	-1.0	-1.0	-1.0	0.0	23	32	98	216	588	[0]	[1]	[3]	[0]	[18]	[0]	[0]	train
AG964	2015	10.819198116145218	0.6562337402441465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	23	32	41	36	672	[0]	[0]	[0]	[0]	[0]	[0]	[0]	test
AG964	2023	10.819198116145218	0.6562337402441465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.0	1.0	0.0	2.0	1.0	0.12435300177159621	0.0	1.0	-1.0	-1.0	-1.0	0.0	23	32	41	36	672	[0]	[0]	[0]	[0]	[0]	[0]	[0]	test
